ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
462929,Betz,Clos de Betz 2017,73.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/6/2/9/462929.jpg.thumb.319.319.png
472365,Stag's Leap,Wine Cellars Aveta Sauvignon Blanc 2019,44.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/7/2/3/472365.jpg.thumb.319.319.png
492462,Pelee Island,Winery Vinedressers Chardonnay 2017,17.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/9/2/4/492462.jpg.thumb.319.319.png
492967,Three Dog,Three Dog Winery Pinot Grigio VQA,19.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/9/2/9/492967.jpg.thumb.319.319.png
495507,Robertson Wines,Robertson Winery Chenin Blanc,12.00,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/4/9/5/5/495507.jpg.thumb.319.319.png
511337,Magstar Directs (Non Cc),Tara Atacama White Wine 1 2020,54.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/5/1/1/3/511337.jpg.thumb.319.319.png
541177,,Matetic Corralillo Winemaker's Blend 2019,25.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/5/4/1/1/541177.jpg.thumb.319.319.png
543074,Nickel Brook,Nickel Brook Winey Imperial Stout,9.95,Beer & Cider,Ale,https://assets.untappd.com/site/beer_logos_hd/beer-271370_594fa_hd.jpeg,https://aem.lcbo.com/content/dam/lcbo/products/5/4/3/0/543074.jpg.thumb.319.319.png
558999,Kittling Ridge,Kittling Ridge Icewine & Brandy,19.95,Wine,Fortified Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/5/5/8/9/558999.jpg.thumb.319.319.png
578021,The Ugly,Mulled Wine,13.30,Wine,Gift And Sampler,1,https://aem.lcbo.com/content/dam/lcbo/products/5/7/8/0/578021.jpg.thumb.319.319.png
616441,,Henry of Pelham Cuvée Catharine Brut Sparkling Wine,22.75,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/1/6/4/616441.jpg.thumb.319.319.png
626036,,The Sun Skin-Fermented Vidal Orange Wine 2019,24.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/2/6/0/626036.jpg.thumb.319.319.png
628065,,Southbrook Vidal Skin Fermented White Orange Wine VQA,29.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/2/8/0/628065.jpg.thumb.319.319.png
628214,Black Cellar,Black Cellar Whisky Oak Aged Wine,9.65,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/2/8/2/628214.jpg.thumb.319.319.png
633438,19 Crimes,19 Crimes The Uprising Red Wine,20.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/3/3/4/633438.jpg.thumb.319.319.png
639872,Three Dog,Three Dog Winery Reiki Riesling VQA,16.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/3/9/8/639872.jpg.thumb.319.319.png
650936,Private Stock,Chivaryon White Wine Kosher 2018,48.35,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/6/5/0/9/650936.jpg.thumb.319.319.png
708842,,Mount Veeder Winery Cabernet Sauvignon 2017,69.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/7/0/8/8/708842.jpg.thumb.319.319.png
